C_3_product_P_3,3,3,1,1,3,4,2,2,3,6,2,2,3,3,1,1,3,2,6,6,4,3,4,4,3,3,4,4,3,2,6,6,3,3,2,2,5,6,5,4,2,2,1,1,6,3,7,7,5.0,5.0,2.0,2.0,8.0,6.0,3.0,3.0,4,5,2,2,5,6,3,3,3,3,1,1,3,5,1,1,1,2,4,4,2,3,1,2,6,5,1,2,1,2,6,5,2,3,2,3,1,2,2,3,4.0,4.0,9.0,6.0,4,4,9,6,3,4,2,3,2,3,2,3,1,2,2,3,1,2,1,2,2,3,2,3,2,3,1,2,1,2,2.0,3.0,3.0,4.0,2,3,3,4,3,4,2,3,4,4,2,3,4,4,2,3,2,3,4,4,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,1,2,2,3,1,2,1,2,2,3,2,3,2,3,1,2,1,2,2.0,3.0,3.0,4.0,2,3,3,4,3,4,2,3,2,3,1,2,1,2,2,3,2,3,2,3,1,2,1,2,2.0,3.0,3.0,4.0,2,3,3,4,3,4,2,3,3,4,3,4,6,5,6,5,6,5,3,4,3,4,6.0,5.0,9.0,6.0,6,5,9,6,9,6,6,5,1,2,2,3,2,3,2,3,1,2,1,2,2.0,3.0,3.0,4.0,2,3,3,4,3,4,2,3,2,3,2,3,2,3,1,2,1,2,2.0,3.0,3.0,4.0,2,3,3,4,3,4,2,3,6,5,6,5,3,4,3,4,6.0,5.0,9.0,6.0,6,5,9,6,9,6,6,5,2,3,1,2,1,2,2.0,3.0,3.0,4.0,2,3,3,4,3,4,2,3,1,2,1,2,2.0,3.0,3.0,4.0,2,3,3,4,3,4,2,3,1,2,2.0,3.0,3.0,4.0,2,3,3,4,3,4,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,6.0,5.0,4.0,4.0,6.0,5.0,6.0,5.0,4.0,4.0,6.0,5.0,9.0,6.0,9.0,6.0,6.0,5.0,6,5,6,5,4,4,9,6,6,5,2,3,True
C_3_product_P_2,2,2,1,1,2,4,2,2,2,3,1,1,2,2,1,1,3,2,6,6,3,3,3,3,2,2,3,3,3,2,6,6,2,2,1,1,3,3,3,3,2,2,1,1,4,3,5,5,4.0,4.0,2.0,2.0,6.0,6.0,3.0,3.0,3,4,2,2,4,6,3,3,2,2,1,1,2,4,1,1,1,2,4,4,1,2,1,2,6,5,1,2,1,2,6,5,1,2,1,2,1,2,2,3,4.0,4.0,9.0,6.0,4,4,6,5,2,3,1,2,2,3,1,2,1,2,2,3,1,2,1,2,2,3,1,2,1,2,1,2,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,2,3,2,3,4,4,2,3,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,1,2,2,3,1,2,1,2,2,3,1,2,1,2,1,2,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,2,3,1,2,1,2,2,3,1,2,1,2,1,2,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,3,4,3,4,6,5,3,4,3,4,3,4,3,4,6.0,5.0,9.0,6.0,6,5,6,5,6,5,3,4,1,2,2,3,1,2,1,2,1,2,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,2,3,1,2,1,2,1,2,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,3,4,3,4,3,4,3,4,6.0,5.0,9.0,6.0,6,5,6,5,6,5,3,4,1,2,1,2,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,1,2,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,6.0,5.0,6.0,5.0,6.0,5.0,3.0,4.0,4,4,4,4,2,3,6,5,3,4,1,2,True
P_5_product_P_4,6,6,4,3,8,6,4,3,10,12,6,6,6,8,4,4,2,2,4,4,10,8,10,10,7,6,7,7,2,2,4,4,6,7,4,3,11,14,12,11,4,4,3,2,10,8,14,14,11.0,12.0,8.0,6.0,17.0,18.0,12.0,9.0,10,12,7,5,12,16,10,7,6,10,4,3,6,15,4,3,4,4,6,5,6,5,4,4,4,4,4,4,2,3,4,4,4,4,6,5,4,4,4,4,12.0,7.0,30.0,11.0,9,6,20,9,6,5,6,5,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,6.0,5.0,10.0,7.0,6,5,8,6,4,4,4,4,6,5,6,5,6,5,6,5,3,4,6,5,6,5,6,5,6,5,6,5,9.0,6.0,15.0,8.0,9,6,12,7,6,5,6,5,6,5,6,5,6,5,3,4,6,5,6,5,6,5,6,5,6,5,9.0,6.0,15.0,8.0,9,6,12,7,6,5,6,5,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,6.0,5.0,10.0,7.0,6,5,8,6,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,6.0,5.0,10.0,7.0,6,5,8,6,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,6.0,5.0,10.0,7.0,6,5,8,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6.0,5.0,10.0,7.0,6,5,8,6,4,4,4,4,4,4,4,4,4,4,4,4,6.0,5.0,10.0,7.0,6,5,8,6,4,4,4,4,4,4,4,4,4,4,6.0,5.0,10.0,7.0,6,5,8,6,4,4,4,4,6,5,6,5,9.0,6.0,15.0,8.0,9,6,12,7,6,5,6,5,4,4,6.0,5.0,10.0,7.0,6,5,8,6,4,4,4,4,6.0,5.0,10.0,7.0,6,5,8,6,4,4,4,4,20.0,9.0,12.0,7.0,16.0,8.0,8.0,6.0,8.0,6.0,18.0,9.0,24.0,10.0,12.0,8.0,12.0,8.0,12,7,6,5,6,5,10,7,10,7,6,5,True
P_5_product_P_3,4,5,2,2,5,6,3,3,8,10,6,6,4,5,2,2,2,2,4,4,7,5,7,7,5,5,5,5,2,2,4,4,4,6,4,3,8,10,9,8,3,3,2,2,7,5,9,9,8.0,8.0,4.0,4.0,12.0,12.0,6.0,6.0,7,9,4,4,8,12,8,6,4,8,2,2,4,11,2,2,2,3,6,5,6,5,2,3,4,4,2,3,2,3,4,4,4,4,6,5,2,3,2,3,8.0,6.0,18.0,9.0,6,5,15,8,9,6,6,5,4,4,4,4,2,3,4,4,2,3,2,3,4,4,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,6,5,3,4,6,5,3,4,3,4,6,5,6,5,6,5,3,4,3,4,6.0,5.0,9.0,6.0,6,5,9,6,9,6,6,5,3,4,6,5,3,4,3,4,6,5,6,5,6,5,3,4,3,4,6.0,5.0,9.0,6.0,6,5,9,6,9,6,6,5,4,4,2,3,2,3,4,4,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,2,3,2,3,4,4,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,2,3,4,4,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,4,4,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,3,4,3,4,6.0,5.0,9.0,6.0,6,5,9,6,9,6,6,5,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,12.0,7.0,8.0,6.0,12.0,7.0,12.0,7.0,8.0,6.0,12.0,8.0,18.0,9.0,18.0,9.0,12.0,8.0,9,6,9,6,6,5,15,8,10,7,6,5,True
P_5_product_P_2,3,4,2,2,4,6,3,3,5,6,3,3,3,4,2,2,2,2,4,4,5,4,5,5,4,4,4,4,2,2,4,4,3,4,2,2,5,6,5,5,3,4,2,2,5,4,7,7,6.0,8.0,4.0,4.0,9.0,12.0,6.0,6.0,5,6,4,4,7,10,6,6,3,6,2,2,3,8,2,2,2,3,6,5,3,4,2,3,4,4,2,3,2,3,4,4,2,3,3,4,2,3,2,3,8.0,6.0,18.0,9.0,6,5,10,7,6,5,3,4,4,4,2,3,2,3,4,4,2,3,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,3,4,3,4,6,5,3,4,3,4,6,5,3,4,3,4,3,4,3,4,6.0,5.0,9.0,6.0,6,5,6,5,6,5,3,4,3,4,6,5,3,4,3,4,6,5,3,4,3,4,3,4,3,4,6.0,5.0,9.0,6.0,6,5,6,5,6,5,3,4,4,4,2,3,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,3,4,3,4,6.0,5.0,9.0,6.0,6,5,6,5,6,5,3,4,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,12.0,7.0,8.0,6.0,8.0,6.0,8.0,6.0,4.0,5.0,12.0,8.0,12.0,8.0,12.0,8.0,6.0,7.0,6,5,6,5,3,4,10,7,5,6,3,4,True
P_4_product_P_3,4,4,2,2,4,4,2,2,6,8,4,4,4,4,2,2,2,2,4,4,6,4,6,6,4,4,4,4,2,2,4,4,4,5,3,3,7,8,7,7,3,3,2,2,6,4,8,8,7.0,6.0,4.0,4.0,11.0,10.0,6.0,6.0,6,8,4,4,8,10,7,6,4,6,2,2,4,9,2,2,2,3,4,4,4,4,2,3,4,4,2,3,1,2,4,4,4,4,4,4,2,3,2,3,6.0,5.0,15.0,8.0,6,5,12,7,6,5,4,4,4,4,4,4,2,3,4,4,2,3,2,3,4,4,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,4,4,2,3,4,4,2,3,2,3,4,4,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,2,3,4,4,2,3,2,3,4,4,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,4,4,2,3,2,3,4,4,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,2,3,2,3,4,4,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,2,3,4,4,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,2,3,2,3,2,3,1,2,1,2,2.0,3.0,3.0,4.0,2,3,3,4,3,4,2,3,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,2,3,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,4.0,4.0,6.0,5.0,4,4,6,5,6,5,4,4,9.0,6.0,6.0,5.0,9.0,6.0,9.0,6.0,6.0,5.0,10.0,7.0,15.0,8.0,15.0,8.0,10.0,7.0,9,6,9,6,6,5,12,7,8,6,4,4,True
P_4_product_P_2,3,4,2,2,4,4,2,2,4,4,2,2,3,4,2,2,2,2,4,4,4,4,4,4,3,2,3,3,2,2,4,4,3,4,2,2,4,5,4,4,2,3,2,2,4,4,6,6,5.0,6.0,4.0,4.0,8.0,10.0,6.0,6.0,4,6,4,4,6,8,5,5,3,4,2,2,3,6,2,2,2,3,4,4,2,3,2,3,4,4,2,3,1,2,4,4,2,3,2,3,2,3,2,3,6.0,5.0,15.0,8.0,6,5,8,6,4,4,2,3,4,4,2,3,2,3,4,4,2,3,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,2,3,4,4,2,3,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,4,4,2,3,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,4,4,2,3,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,1,2,1,2,1,2,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,9.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,3.0,4.0,10.0,7.0,10.0,7.0,10.0,7.0,5.0,6.0,6,5,6,5,3,4,8,6,4,5,2,3,True
P_3_product_P_2,2,2,1,1,2,4,2,2,3,4,2,2,2,2,1,1,2,2,4,4,3,2,3,3,2,2,2,2,2,2,4,4,2,3,2,2,3,4,3,3,2,2,1,1,3,2,4,4,4.0,4.0,2.0,2.0,6.0,6.0,3.0,3.0,3,4,2,2,5,6,4,4,2,6,1,1,2,5,1,1,1,2,4,4,2,3,1,2,4,4,1,2,1,2,4,4,2,3,2,3,1,2,1,2,4.0,4.0,9.0,6.0,4,4,6,5,6,5,2,3,2,3,1,2,1,2,2,3,1,2,1,2,2,3,1,2,1,2,1,2,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,2,3,2,3,4,4,2,3,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,4,4,2,3,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,1,2,1,2,2,3,1,2,1,2,1,2,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,2,3,2,3,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,1,2,2,3,1,2,1,2,1,2,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,2,3,1,2,1,2,1,2,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,2,3,2,3,4.0,4.0,6.0,5.0,4,4,4,4,4,4,2,3,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,2.0,3.0,3.0,4.0,2,3,2,3,2,3,1,2,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,6.0,5.0,6.0,5.0,6.0,5.0,3.0,4.0,4,4,4,4,2,3,6,5,3,4,3,4,True
